Code,Municipality,Sex,Year,Age,Old Population,Updated Population
99524,La Primavera,Female,1998,25-29,0,19
97777,Papunahua,Female,1998,20-24,0,1
97777,Papunahua,Female,2000,25-29,0,1
97777,Papunahua,Female,2001,20-24,0,1
97777,Papunahua,Female,2001,25-29,0,1
97777,Papunahua,Female,2002,20-24,0,1
97777,Papunahua,Female,2003,20-24,0,1
97777,Papunahua,Female,2003,35-39,0,1
97777,Papunahua,Male,1999,20-24,0,1
97777,Papunahua,Male,2000,35-39,0,1
97777,Papunahua,Male,2001,20-24,0,1
97777,Papunahua,Male,2001,25-29,0,1
97777,Papunahua,Male,2001,30-34,0,1
97777,Papunahua,Male,2001,35-39,0,1
97777,Papunahua,Male,2001,40-44,0,1
97777,Papunahua,Male,2002,20-24,0,1
97777,Papunahua,Male,2002,25-29,0,1
97777,Papunahua,Male,2002,35-39,0,1
97777,Papunahua,Male,2003,20-24,0,1
97777,Papunahua,Male,2003,35-39,0,1
97777,Papunahua,Male,2003,40-44,0,1
97777,Papunahua,Male,2004,35-39,0,1
97666,Taraira,Female,1998,15-19,0,1
97666,Taraira,Female,2000,15-19,0,4
97161,Carurú,Female,1999,45-49,0,1
97161,Carurú,Male,1998,40-44,0,1
97161,Carurú,Male,1999,40-44,0,1
97161,Carurú,Male,2000,40-44,0,2
94886,Cacahual,Female,1998,25-29,0,1
94886,Cacahual,Female,2000,25-29,0,1
94886,Cacahual,Male,1998,20-24,0,1
94886,Cacahual,Male,2000,30-34,0,1
94886,Cacahual,Male,2003,20-24,0,1
94883,San Felipe,Female,1998,20-24,0,3
94883,San Felipe,Male,1998,50-54,0,1
94883,San Felipe,Male,2000,40-44,0,1
94343,Barrancominas,Male,1998,40-44,0,1
94343,Barrancominas,Male,2000,40-44,0,3
91669,Puerto Santander,Female,1998,25-29,0,2
91669,Puerto Santander,Female,1998,35-39,0,1
91669,Puerto Santander,Male,1998,15-19,0,1
91669,Puerto Santander,Male,1998,20-24,0,2
91669,Puerto Santander,Male,1998,35-39,0,1
91669,Puerto Santander,Male,1998,40-44,0,2
91669,Puerto Santander,Male,1998,45-49,0,1
91669,Puerto Santander,Male,1999,35-39,0,1
91669,Puerto Santander,Male,2000,35-39,0,1
91669,Puerto Santander,Male,2001,15-19,0,1
91669,Puerto Santander,Male,2001,35-39,0,2
91530,Puerto Alegría,Female,2002,20-24,0,1
91530,Puerto Alegría,Female,2003,15-19,0,1
91530,Puerto Alegría,Female,2003,20-24,0,1
91530,Puerto Alegría,Female,2003,30-34,0,1
91530,Puerto Alegría,Female,2003,35-39,0,1
91530,Puerto Alegría,Female,2003,40-44,0,1
91530,Puerto Alegría,Female,2004,15-19,0,1
91530,Puerto Alegría,Female,2004,20-24,0,1
91530,Puerto Alegría,Female,2004,30-34,0,1
91530,Puerto Alegría,Female,2004,40-44,0,1
91530,Puerto Alegría,Female,2005,15-19,0,1
91530,Puerto Alegría,Female,2005,20-24,0,1
91530,Puerto Alegría,Female,2005,30-34,0,1
91530,Puerto Alegría,Female,2005,40-44,0,1
91530,Puerto Alegría,Male,2002,25-29,0,1
91530,Puerto Alegría,Male,2002,30-34,0,1
91530,Puerto Alegría,Male,2003,20-24,0,1
91530,Puerto Alegría,Male,2003,25-29,0,1
91530,Puerto Alegría,Male,2003,30-34,0,1
91530,Puerto Alegría,Male,2003,40-44,0,1
91530,Puerto Alegría,Male,2003,45-49,0,1
91530,Puerto Alegría,Male,2004,20-24,0,1
91530,Puerto Alegría,Male,2004,25-29,0,1
91530,Puerto Alegría,Male,2004,30-34,0,1
91530,Puerto Alegría,Male,2004,45-49,0,1
91530,Puerto Alegría,Male,2005,15-19,0,2
91530,Puerto Alegría,Male,2005,20-24,0,1
91530,Puerto Alegría,Male,2005,25-29,0,1
91530,Puerto Alegría,Male,2005,30-34,0,1
91460,Mirití - Paraná,Female,1998,20-24,0,1
91460,Mirití - Paraná,Female,1998,30-34,0,1
91460,Mirití - Paraná,Female,1999,20-24,0,1
91460,Mirití - Paraná,Female,1999,25-29,0,1
91460,Mirití - Paraná,Female,1999,30-34,0,1
91460,Mirití - Paraná,Female,2000,20-24,0,1
91460,Mirití - Paraná,Female,2000,25-29,0,1
91460,Mirití - Paraná,Female,2000,30-34,0,1
91460,Mirití - Paraná,Female,2001,20-24,0,1
91460,Mirití - Paraná,Female,2001,25-29,0,1
91460,Mirití - Paraná,Female,2002,20-24,0,1
91460,Mirití - Paraná,Female,2002,25-29,0,1
91460,Mirití - Paraná,Female,2002,30-34,0,1
91460,Mirití - Paraná,Female,2002,45-49,0,1
91460,Mirití - Paraná,Female,2004,20-24,0,1
91460,Mirití - Paraná,Female,2004,25-29,0,1
91460,Mirití - Paraná,Female,2005,25-29,0,1
91460,Mirití - Paraná,Female,2005,30-34,0,1
91460,Mirití - Paraná,Male,1998,35-39,0,1
91460,Mirití - Paraná,Male,1999,20-24,0,1
91460,Mirití - Paraná,Male,1999,35-39,0,1
91460,Mirití - Paraná,Male,1999,50-54,0,1
91460,Mirití - Paraná,Male,2000,30-34,0,1
91460,Mirití - Paraná,Male,2000,45-49,0,1
91460,Mirití - Paraná,Male,2001,20-24,0,1
91460,Mirití - Paraná,Male,2001,30-34,0,1
91460,Mirití - Paraná,Male,2001,35-39,0,1
91460,Mirití - Paraná,Male,2002,20-24,0,1
91460,Mirití - Paraná,Male,2002,35-39,0,1
91460,Mirití - Paraná,Male,2004,20-24,0,1
91460,Mirití - Paraná,Male,2004,30-34,0,1
91460,Mirití - Paraná,Male,2004,45-49,0,1
91460,Mirití - Paraná,Male,2005,30-34,0,1
91407,La Pedrera,Female,2001,10-14,0,9
91407,La Pedrera,Male,1998,45-49,0,1
91407,La Pedrera,Male,2000,45-49,0,1
91407,La Pedrera,Male,2001,45-49,0,3
91263,El Encanto,Female,1998,25-29,0,1
91263,El Encanto,Female,1998,30-34,0,1
91263,El Encanto,Female,1998,40-44,0,1
91263,El Encanto,Female,1999,25-29,0,1
91263,El Encanto,Female,1999,30-34,0,1
91263,El Encanto,Female,2000,25-29,0,1
91263,El Encanto,Female,2000,30-34,0,1
91263,El Encanto,Female,2001,25-29,0,1
91263,El Encanto,Female,2001,30-34,0,1
91263,El Encanto,Female,2002,25-29,0,1
91263,El Encanto,Female,2002,30-34,0,1
91263,El Encanto,Female,2003,25-29,0,1
91263,El Encanto,Female,2003,30-34,0,1
91263,El Encanto,Female,2004,25-29,0,2
91263,El Encanto,Female,2004,30-34,0,1
91263,El Encanto,Female,2004,40-44,0,1
91263,El Encanto,Female,2004,45-49,0,1
91263,El Encanto,Female,2005,30-34,0,2
91263,El Encanto,Male,1998,35-39,0,1
91263,El Encanto,Male,2000,35-39,0,1
91263,El Encanto,Male,2001,35-39,0,1
91263,El Encanto,Male,2002,35-39,0,2
68132,California,Male,1998,50-54,0,1
